dataset,n_features_total,model,selector,selector_family,k_ratio,n_selected_mean,accuracy_mean,accuracy_std,f1_mean,f1_std,train_time_s_mean,total_time_s_mean,energy_j_mean,energy_wh_mean
Wisconsin Breast Cancer,30,Linear SVM,Filter (Mutual Info),Filter,0.5,15.0,0.9525694767893184,0.01524494143001136,0.9524575379646267,0.01520762162150261,0.0019386500003747641,0.07804225039944868,5.072746275964164,0.0014090961877678233
Wisconsin Breast Cancer,30,Linear SVM,Wrapper (RFE),Wrapper,0.5,15.0,0.9648812296227295,0.012361547266720207,0.9648855063366893,0.012339226558734423,0.0016566918005992194,0.016053366798587376,1.0434688419081795,0.00028985245608560543
Wisconsin Breast Cancer,30,Linear SVM,Embedded (L1-SVM),Embedded,0.5,15.0,0.9666356155876418,0.012854115389141193,0.9666207644208644,0.012862654235873263,0.0019076502001553308,0.007734833599533886,0.5027641839697026,0.00013965671776936182
Wisconsin Breast Cancer,30,Linear SVM,Embedded (RF importance),Embedded,0.5,15.0,0.968390001552554,0.01624281617318952,0.96836712233856,0.01626167634420258,0.0024893333989894017,0.1857967752002878,12.076790388018708,0.0033546639966718634
Wisconsin Breast Cancer,30,Linear SVM,Baseline (no FS),None,1.0,30.0,0.9666356155876417,0.012854115389141165,0.9665585642255886,0.012913084272032613,0.0021339749997423495,0.002298108200193383,0.14937703301256988,4.149362028126941e-05
Wisconsin Breast Cancer,30,Linear SVM,Filter (Mutual Info),Filter,0.75,22.0,0.9718987734823784,0.008556812051479262,0.9718051581447984,0.008596618105008046,0.0021722084005887155,0.10302734180004336,6.696777217002818,0.001860215893611894
Wisconsin Breast Cancer,30,Linear SVM,Wrapper (RFE),Wrapper,0.75,22.0,0.9631268436578171,0.016042022426890085,0.96302274407249,0.016151279350058372,0.005558516600285657,0.039096191999851725,2.541252479990362,0.0007059034666639895
Wisconsin Breast Cancer,30,Linear SVM,Embedded (L1-SVM),Embedded,0.75,22.0,0.9648657040832169,0.009567008272362953,0.9647973466224483,0.00954007119106013,0.0029946497998025734,0.011361741998553044,0.7385132299059478,0.0002051425638627633
Wisconsin Breast Cancer,30,Linear SVM,Embedded (RF importance),Embedded,0.75,22.0,0.9701443875174662,0.016246169652890517,0.9699987265568147,0.01640980902964729,0.0025222333999408873,0.2209847748003085,14.364010362020053,0.003990002878338904
Optical Digits,64,Logistic Regression,Baseline (no FS),None,1.0,64.0,0.9654982977406374,0.002830443409391256,0.9653575440076348,0.002932059890289896,0.27952843319944803,0.2800170086004073,18.201105559026473,0.005055862655285131
Optical Digits,64,Logistic Regression,Filter (Mutual Info),Filter,0.25,16.0,0.903180129990715,0.010397329540135846,0.9023785859669099,0.010370734834582188,0.0565917747997446,0.6885973417993227,44.75882721695598,0.01243300756026555
Optical Digits,64,Logistic Regression,Wrapper (RFE),Wrapper,0.25,16.0,0.9126354069947386,0.011189081551789385,0.912717090770872,0.010819513287080775,0.05258244139913586,0.862991333600803,56.0944366840522,0.015581787967792277
Optical Digits,64,Logistic Regression,Embedded (L1-SVM),Embedded,0.25,16.0,0.9209764778706283,0.003830875995418791,0.9207394244497695,0.0035371148729485763,0.053112241801136405,0.2510765420003736,16.319975230024284,0.004533326452784523
Optical Digits,64,Logistic Regression,Embedded (RF importance),Embedded,0.25,16.0,0.9081801299907148,0.014498942787986404,0.907151670781196,0.014482074633661066,0.06088928340031998,0.2887317335989792,18.767562683933647,0.005213211856648236
Optical Digits,64,Logistic Regression,Baseline (no FS),None,1.0,64.0,0.9654982977406374,0.002830443409391256,0.9653575440076348,0.002932059890289896,0.2741567168006441,0.2746078251999279,17.849508637995314,0.004958196843887587
Optical Digits,64,Logistic Regression,Filter (Mutual Info),Filter,0.5,32.0,0.9493608789848345,0.010911012280785509,0.9490314352121624,0.010971417846944064,0.12387250040046638,0.7475887172011426,48.59326661807427,0.01349812961613174
Optical Digits,64,Logistic Regression,Wrapper (RFE),Wrapper,0.5,32.0,0.9604936552151037,0.005641474911144094,0.9603584010521382,0.005609022399456954,0.12733112500136484,1.0255570335997617,66.66120718398452,0.018517001995551254
Optical Digits,64,Logistic Regression,Embedded (L1-SVM),Embedded,0.5,32.0,0.9588254410399257,0.007097970634229507,0.9586246639084723,0.006953903700399188,0.1373453418011195,0.38470702480044566,25.005956612028967,0.006946099058896936
Optical Digits,64,Logistic Regression,Embedded (RF importance),Embedded,0.5,32.0,0.9543748065614361,0.0051011796028889046,0.9541221300848406,0.004894725740389064,0.1626901418007037,0.4848160250010551,31.51304162506858,0.008753622673630161
Optical Digits,64,Logistic Regression,Baseline (no FS),None,1.0,64.0,0.9654982977406374,0.002830443409391256,0.9653575440076348,0.002932059890289896,0.27249245019993396,0.27295522500062364,17.742089625040535,0.0049283582291779265
Optical Digits,64,Logistic Regression,Filter (Mutual Info),Filter,0.75,48.0,0.9632760755184153,0.0047545959349716066,0.9632174894535475,0.004659806454072122,0.20805512520018965,0.8546736837990465,55.553789446938026,0.015431608179705007
Optical Digits,64,Logistic Regression,Wrapper (RFE),Wrapper,0.75,48.0,0.9621634168987929,0.00328850110114693,0.9620443536649018,0.0031614944833155017,0.22529498360017897,1.1454838422003377,74.45644974302195,0.02068234715083943
Optical Digits,64,Logistic Regression,Embedded (L1-SVM),Embedded,0.75,48.0,0.9638331785824821,0.003891257462848339,0.9637532373869739,0.0038228360154475747,0.20363268319997588,0.40146275060033076,26.0950787890215,0.007248632996950417
Optical Digits,64,Logistic Regression,Embedded (RF importance),Embedded,0.75,48.0,0.9632760755184153,0.004053805989274244,0.9632044482491539,0.003989820867389935,0.20936324159847572,0.4309727838000981,28.013230947006377,0.007781453040835105
Optical Digits,64,Random Forest,Baseline (no FS),None,1.0,64.0,0.976626431445373,0.0022371182544715703,0.9766364568945475,0.0022065398975728246,0.25757892500041635,0.29897300860029646,19.43324555901927,0.005398123766394242
Optical Digits,64,Random Forest,Filter (Mutual Info),Filter,0.25,16.0,0.9499133395233674,0.008647808491206528,0.9498114832785104,0.00873091099576743,0.25549386679849706,0.9532418753995444,61.960721900970384,0.01721131163915844
Optical Digits,64,Random Forest,Wrapper (RFE),Wrapper,0.25,16.0,0.9554719900959455,0.014550088147145774,0.9553698418628501,0.014674464663996523,0.2476245833997382,1.1277483174002554,73.3036406310166,0.020362122397504612
Optical Digits,64,Random Forest,Embedded (L1-SVM),Embedded,0.25,16.0,0.9543670690188796,0.01290162087263299,0.9543802812697326,0.012875422237424567,0.24757316679824726,0.4925813087989809,32.01778507193376,0.008893829186648267
Optical Digits,64,Random Forest,Embedded (RF importance),Embedded,0.25,16.0,0.952695759826679,0.0136538997282449,0.9526658683938823,0.01358543380884139,0.2534306583998841,0.5349158253993664,34.76952865095882,0.009658202403044117
Optical Digits,64,Random Forest,Baseline (no FS),None,1.0,64.0,0.976626431445373,0.0022371182544715703,0.9766364568945475,0.0022065398975728246,0.2756661334002274,0.3224425831998815,20.958767907992296,0.005821879974442305
Optical Digits,64,Random Forest,Filter (Mutual Info),Filter,0.5,32.0,0.9705091303002167,0.0037498580465750576,0.9704549673864447,0.003688657648076134,0.29880753319957876,0.9761950255997363,63.45267666398286,0.017625743517773015
Optical Digits,64,Random Forest,Wrapper (RFE),Wrapper,0.5,32.0,0.9705044877746827,0.005174839307078311,0.9705145642634179,0.005147060008714021,0.27159856660000514,1.1089668004002307,72.08284202601499,0.020023011673893053
Optical Digits,64,Random Forest,Embedded (L1-SVM),Embedded,0.5,32.0,0.972169606932838,0.008086057608147262,0.972111311131165,0.00805856278995639,0.27831632520028504,0.5297909919987432,34.43641447991831,0.009565670688866199
Optical Digits,64,Random Forest,Embedded (RF importance),Embedded,0.5,32.0,0.969953574744661,0.007540604859533358,0.9700175570843941,0.007457737594667779,0.2566709835991787,0.5414922334006406,35.196995171041635,0.00977694310306712
Optical Digits,64,Random Forest,Baseline (no FS),None,1.0,64.0,0.976626431445373,0.0022371182544715703,0.9766364568945475,0.0022065398975728246,0.32298934159989584,0.36354192520011563,23.630225138007518,0.006563951427224311
